org.ops4j.pax.cdi
scriptella-etl
transdroid
mireka
quark
i18n
disnix-stafftracker-java-example
VFSJFileChooser2
sanselan-android
odata-boilerplate
Wissensmodellierung
open-ecard
Gaffer
kairosdb
sensorweb-rest-api
providence
baleen-extras
railo
mineraloil-jmeter
coopr
distributed-graph-analytics
atdl4j
SimpleAnnotationServer
graphql
setupmaker
nfe
stapler
quince
sqlpower-library
dbfit
geode-demo-application
rest-assured
NTPSync
googleads-java-lib
QuickServer-Main
zohhak
bigtop
cloud-espm-scenarios
silverspoon
play1-maven-plugin
